dt,AverageTemperature,AverageTemperatureUncertainty,City,LatitudeAndLongitude
1993-11-01T00:00:00Z,27.21,0.245,Abidjan,"5.63,-3.23"
1993-12-01T00:00:00Z,26.996,0.277,Abidjan,"5.63,-3.23"
1994-01-01T00:00:00Z,27.014000000000006,0.295,Abidjan,"5.63,-3.23"
1994-02-01T00:00:00Z,28.687,0.466,Abidjan,"5.63,-3.23"
1994-03-01T00:00:00Z,28.571,0.214,Abidjan,"5.63,-3.23"
1994-04-01T00:00:00Z,28.017,0.32,Abidjan,"5.63,-3.23"
1994-05-01T00:00:00Z,27.052,0.29,Abidjan,"5.63,-3.23"
1994-06-01T00:00:00Z,25.696,0.285,Abidjan,"5.63,-3.23"
1994-07-01T00:00:00Z,24.603,0.39,Abidjan,"5.63,-3.23"
1994-08-01T00:00:00Z,24.459,0.235,Abidjan,"5.63,-3.23"
1994-09-01T00:00:00Z,25.055,0.329,Abidjan,"5.63,-3.23"
1994-10-01T00:00:00Z,25.701999999999998,0.205,Abidjan,"5.63,-3.23"
1994-11-01T00:00:00Z,26.986,0.191,Abidjan,"5.63,-3.23"
1994-12-01T00:00:00Z,26.96,0.532,Abidjan,"5.63,-3.23"
1995-01-01T00:00:00Z,26.993,0.36,Abidjan,"5.63,-3.23"
1995-02-01T00:00:00Z,29.053,0.395,Abidjan,"5.63,-3.23"
1995-03-01T00:00:00Z,28.429000000000002,0.475,Abidjan,"5.63,-3.23"
1995-04-01T00:00:00Z,28.284,0.38,Abidjan,"5.63,-3.23"
1995-05-01T00:00:00Z,27.716,0.387,Abidjan,"5.63,-3.23"
1995-06-01T00:00:00Z,26.313000000000002,0.319,Abidjan,"5.63,-3.23"
1995-07-01T00:00:00Z,25.357000000000006,0.28600000000000003,Abidjan,"5.63,-3.23"
1995-08-01T00:00:00Z,25.08,0.189,Abidjan,"5.63,-3.23"
1995-09-01T00:00:00Z,25.335,0.401,Abidjan,"5.63,-3.23"
1995-10-01T00:00:00Z,25.956999999999997,0.162,Abidjan,"5.63,-3.23"
1995-11-01T00:00:00Z,27.180999999999997,0.212,Abidjan,"5.63,-3.23"
1995-12-01T00:00:00Z,26.8,0.18,Abidjan,"5.63,-3.23"
1996-01-01T00:00:00Z,27.323,0.212,Abidjan,"5.63,-3.23"
1996-02-01T00:00:00Z,28.396,0.145,Abidjan,"5.63,-3.23"
1996-03-01T00:00:00Z,28.512,0.133,Abidjan,"5.63,-3.23"
1996-04-01T00:00:00Z,28.011999999999997,0.431,Abidjan,"5.63,-3.23"
1996-05-01T00:00:00Z,27.533,0.394,Abidjan,"5.63,-3.23"
1996-06-01T00:00:00Z,25.906,0.215,Abidjan,"5.63,-3.23"
1996-07-01T00:00:00Z,24.866999999999997,0.191,Abidjan,"5.63,-3.23"
1996-08-01T00:00:00Z,24.671999999999997,0.525,Abidjan,"5.63,-3.23"
1996-09-01T00:00:00Z,24.803,0.263,Abidjan,"5.63,-3.23"
1996-10-01T00:00:00Z,25.601,0.257,Abidjan,"5.63,-3.23"
1996-11-01T00:00:00Z,26.866,0.293,Abidjan,"5.63,-3.23"
1996-12-01T00:00:00Z,26.509,0.257,Abidjan,"5.63,-3.23"
1997-01-01T00:00:00Z,27.178,0.2,Abidjan,"5.63,-3.23"
1997-02-01T00:00:00Z,28.148000000000003,0.361,Abidjan,"5.63,-3.23"
1997-03-01T00:00:00Z,28.313000000000002,0.459,Abidjan,"5.63,-3.23"
1997-04-01T00:00:00Z,27.086,0.308,Abidjan,"5.63,-3.23"
1997-05-01T00:00:00Z,26.749000000000002,0.234,Abidjan,"5.63,-3.23"
1997-06-01T00:00:00Z,25.461,0.434,Abidjan,"5.63,-3.23"
1997-07-01T00:00:00Z,24.522,0.333,Abidjan,"5.63,-3.23"
1997-08-01T00:00:00Z,24.483,0.579,Abidjan,"5.63,-3.23"
